Moves,Pokemon,Type,Category,estPower
Secret Power,Bulbasaur,Normal,Physical,70.0
Cut,Bulbasaur,Normal,Physical,47.5
Strength,Bulbasaur,Normal,Physical,80.0
Growl,Ivysaur,Normal,Status,0.0
Leech Seed,Ivysaur,Grass,Status,0.0
Tackle,Ivysaur,Normal,Physical,40.0
Growl,Ivysaur,Normal,Status,0.0
Leech Seed,Ivysaur,Grass,Status,0.0
Vine Whip,Ivysaur,Grass,Physical,45.0
Poison Powder,Ivysaur,Poison,Status,0.0
Sleep Powder,Ivysaur,Grass,Status,0.0
Take Down,Ivysaur,Normal,Physical,76.5
Razor Leaf,Ivysaur,Grass,Physical,52.25
Sweet Scent,Ivysaur,Normal,Status,0.0
Growth,Ivysaur,Normal,Status,0.0
Double-Edge,Ivysaur,Normal,Physical,120.0
Worry Seed,Ivysaur,Grass,Status,0.0
Synthesis,Ivysaur,Grass,Status,0.0
Solar Beam,Ivysaur,Grass,Special,200.0
Amnesia,Ivysaur,Psychic,Status,0.0
Charm,Ivysaur,Fairy,Status,0.0
Curse,Ivysaur,Ghost,Status,0.0
Endure,Ivysaur,Normal,Status,0.0
Giga Drain,Ivysaur,Grass,Special,75.0
Grass Whistle,Ivysaur,Grass,Status,0.0
Grassy Terrain,Ivysaur,Grass,Status,0.0
Ingrain,Ivysaur,Grass,Status,0.0
Leaf Storm,Ivysaur,Grass,Special,117.0
Magical Leaf,Ivysaur,Grass,Special,60.0
Nature Power,Ivysaur,Normal,Status,0.0
Petal Dance,Ivysaur,Grass,Special,120.0
Power Whip,Ivysaur,Grass,Physical,102.0
Skull Bash,Ivysaur,Normal,Physical,130.0
Sludge,Ivysaur,Poison,Special,65.0
Grass Pledge,Ivysaur,Grass,Special,80.0
Work Up,Ivysaur,Normal,Status,0.0
Toxic,Ivysaur,Poison,Status,0.0
Venoshock,Ivysaur,Poison,Special,65.0
Hidden Power,Ivysaur,Normal,Special,60.0
Sunny Day,Ivysaur,Fire,Status,0.0
Light Screen,Ivysaur,Psychic,Status,0.0
Protect,Ivysaur,Normal,Status,0.0
Safeguard,Ivysaur,Normal,Status,0.0
Frustration,Ivysaur,Normal,Physical,0.0
Solar Beam,Ivysaur,Grass,Special,200.0
Return,Ivysaur,Normal,Physical,0.0
Double Team,Ivysaur,Normal,Status,0.0
Sludge Bomb,Ivysaur,Poison,Special,90.0
Facade,Ivysaur,Normal,Physical,70.0
Rest,Ivysaur,Psychic,Status,0.0
Attract,Ivysaur,Normal,Status,0.0
Round,Ivysaur,Normal,Special,60.0
Echoed Voice,Ivysaur,Normal,Special,40.0
Energy Ball,Ivysaur,Grass,Special,90.0
Swords Dance,Ivysaur,Normal,Status,0.0
Grass Knot,Ivysaur,Grass,Special,0.0
Swagger,Ivysaur,Normal,Status,0.0
Sleep Talk,Ivysaur,Normal,Status,0.0
Substitute,Ivysaur,Normal,Status,0.0
Nature Power,Ivysaur,Normal,Status,0.0
Confide,Ivysaur,Normal,Status,0.0
Bide,Ivysaur,Normal,Physical,0.0
Mega Drain,Ivysaur,Grass,Special,75.0
Rage,Ivysaur,Normal,Physical,20.0
Reflect,Ivysaur,Psychic,Status,0.0
Razor Wind,Ivysaur,Normal,Special,80.0
Body Slam,Ivysaur,Normal,Physical,85.0
Defense Curl,Ivysaur,Normal,Status,0.0
Mimic,Ivysaur,Normal,Status,0.0
Bullet Seed,Ivysaur,Grass,Physical,25.0
Captivate,Ivysaur,Normal,Status,0.0
Natural Gift,Ivysaur,Normal,Physical,0.0
Fury Cutter,Ivysaur,Bug,Physical,38.0
Headbutt,Ivysaur,Normal,Physical,70.0
Mud-Slap,Ivysaur,Ground,Special,20.0
String Shot,Ivysaur,Bug,Status,0.0
Flash,Ivysaur,Normal,Status,0.0
Rock Smash,Ivysaur,Fighting,Physical,40.0
Secret Power,Ivysaur,Normal,Physical,70.0
Cut,Ivysaur,Normal,Physical,47.5
Strength,Ivysaur,Normal,Physical,80.0
Growl,Venusaur,Normal,Status,0.0
Leech Seed,Venusaur,Grass,Status,0.0
Petal Dance,Venusaur,Grass,Special,120.0
Tackle,Venusaur,Normal,Physical,40.0
Vine Whip,Venusaur,Grass,Physical,45.0
Growl,Venusaur,Normal,Status,0.0
Leech Seed,Venusaur,Grass,Status,0.0
Vine Whip,Venusaur,Grass,Physical,45.0
Poison Powder,Venusaur,Poison,Status,0.0
Sleep Powder,Venusaur,Grass,Status,0.0
Take Down,Venusaur,Normal,Physical,76.5
Razor Leaf,Venusaur,Grass,Physical,52.25
Sweet Scent,Venusaur,Normal,Status,0.0
Growth,Venusaur,Normal,Status,0.0
Double-Edge,Venusaur,Normal,Physical,120.0
Worry Seed,Venusaur,Grass,Status,0.0
Synthesis,Venusaur,Grass,Status,0.0
Petal Blizzard,Venusaur,Grass,Physical,90.0
Solar Beam,Venusaur,Grass,Special,200.0
Amnesia,Venusaur,Psychic,Status,0.0
Charm,Venusaur,Fairy,Status,0.0
Curse,Venusaur,Ghost,Status,0.0
Endure,Venusaur,Normal,Status,0.0
Giga Drain,Venusaur,Grass,Special,75.0
Grass Whistle,Venusaur,Grass,Status,0.0
Grassy Terrain,Venusaur,Grass,Status,0.0
Ingrain,Venusaur,Grass,Status,0.0
Leaf Storm,Venusaur,Grass,Special,117.0
Magical Leaf,Venusaur,Grass,Special,60.0
Nature Power,Venusaur,Normal,Status,0.0
Petal Dance,Venusaur,Grass,Special,120.0
Power Whip,Venusaur,Grass,Physical,102.0
Skull Bash,Venusaur,Normal,Physical,130.0
Sludge,Venusaur,Poison,Special,65.0
Frenzy Plant,Venusaur,Grass,Special,135.0
Grass Pledge,Venusaur,Grass,Special,80.0
Work Up,Venusaur,Normal,Status,0.0
Roar,Venusaur,Normal,Status,0.0
Toxic,Venusaur,Poison,Status,0.0
Venoshock,Venusaur,Poison,Special,65.0
Hidden Power,Venusaur,Normal,Special,60.0
Sunny Day,Venusaur,Fire,Status,0.0
Hyper Beam,Venusaur,Normal,Special,135.0
Light Screen,Venusaur,Psychic,Status,0.0
Protect,Venusaur,Normal,Status,0.0
Safeguard,Venusaur,Normal,Status,0.0
Frustration,Venusaur,Normal,Physical,0.0
Solar Beam,Venusaur,Grass,Special,200.0
Earthquake,Venusaur,Ground,Physical,100.0
Return,Venusaur,Normal,Physical,0.0
Double Team,Venusaur,Normal,Status,0.0
Sludge Bomb,Venusaur,Poison,Special,90.0
Facade,Venusaur,Normal,Physical,70.0
Rest,Venusaur,Psychic,Status,0.0
Attract,Venusaur,Normal,Status,0.0
Round,Venusaur,Normal,Special,60.0
Echoed Voice,Venusaur,Normal,Special,40.0
Energy Ball,Venusaur,Grass,Special,90.0
Giga Impact,Venusaur,Normal,Physical,135.0
Swords Dance,Venusaur,Normal,Status,0.0
Bulldoze,Venusaur,Ground,Physical,60.0
Grass Knot,Venusaur,Grass,Special,0.0
Swagger,Venusaur,Normal,Status,0.0
Sleep Talk,Venusaur,Normal,Status,0.0
Substitute,Venusaur,Normal,Status,0.0
Nature Power,Venusaur,Normal,Status,0.0
Confide,Venusaur,Normal,Status,0.0
Bide,Venusaur,Normal,Physical,0.0
Mega Drain,Venusaur,Grass,Special,75.0
Rage,Venusaur,Normal,Physical,20.0
Reflect,Venusaur,Psychic,Status,0.0
Razor Wind,Venusaur,Normal,Special,80.0
Body Slam,Venusaur,Normal,Physical,85.0
Defense Curl,Venusaur,Normal,Status,0.0
Mimic,Venusaur,Normal,Status,0.0
Bullet Seed,Venusaur,Grass,Physical,25.0
Captivate,Venusaur,Normal,Status,0.0
Natural Gift,Venusaur,Normal,Physical,0.0
Fury Cutter,Venusaur,Bug,Physical,38.0
Headbutt,Venusaur,Normal,Physical,70.0
Mud-Slap,Venusaur,Ground,Special,20.0
String Shot,Venusaur,Bug,Status,0.0
Flash,Venusaur,Normal,Status,0.0
Rock Smash,Venusaur,Fighting,Physical,40.0
Secret Power,Venusaur,Normal,Physical,70.0
Cut,Venusaur,Normal,Physical,47.5
Strength,Venusaur,Normal,Physical,80.0
Growl,Charmander,Normal,Status,0.0
Scratch,Charmander,Normal,Physical,40.0
Ember,Charmander,Fire,Special,40.0
Smokescreen,Charmander,Normal,Status,0.0
Dragon Rage,Charmander,Dragon,Special,0.0
Scary Face,Charmander,Normal,Status,0.0
Fire Fang,Charmander,Fire,Physical,61.75
Flame Burst,Charmander,Fire,Special,70.0
Slash,Charmander,Normal,Physical,70.0
Flamethrower,Charmander,Fire,Special,90.0
Fire Spin,Charmander,Fire,Special,29.75
Inferno,Charmander,Fire,Special,50.0
Air Cutter,Charmander,Flying,Special,57.0
Ancient Power,Charmander,Rock,Special,60.0
Beat Up,Charmander,Dark,Physical,0.0
Belly Drum,Charmander,Normal,Status,0.0
Bite,Charmander,Dark,Physical,60.0
Counter,Charmander,Fighting,Physical,0.0
Crunch,Charmander,Dark,Physical,80.0
Dragon Dance,Charmander,Dragon,Status,0.0
Dragon Pulse,Charmander,Dragon,Special,85.0
Dragon Rush,Charmander,Dragon,Physical,75.0
Flare Blitz,Charmander,Fire,Physical,120.0
Focus Punch,Charmander,Fighting,Physical,150.0
Metal Claw,Charmander,Steel,Physical,47.5
Outrage,Charmander,Dragon,Physical,120.0
Fire Pledge,Charmander,Fire,Special,80.0
Work Up,Charmander,Normal,Status,0.0
Dragon Claw,Charmander,Dragon,Physical,80.0
Toxic,Charmander,Poison,Status,0.0
Hidden Power,Charmander,Normal,Special,60.0
Sunny Day,Charmander,Fire,Status,0.0
Protect,Charmander,Normal,Status,0.0
Frustration,Charmander,Normal,Physical,0.0
Return,Charmander,Normal,Physical,0.0
Brick Break,Charmander,Fighting,Physical,75.0
Double Team,Charmander,Normal,Status,0.0
Flamethrower,Charmander,Fire,Special,90.0
Fire Blast,Charmander,Fire,Special,93.5
Rock Tomb,Charmander,Rock,Physical,57.0
Aerial Ace,Charmander,Flying,Physical,60.0
Facade,Charmander,Normal,Physical,70.0
Flame Charge,Charmander,Fire,Physical,50.0
Rest,Charmander,Psychic,Status,0.0
Attract,Charmander,Normal,Status,0.0
Round,Charmander,Normal,Special,60.0
Echoed Voice,Charmander,Normal,Special,40.0
Overheat,Charmander,Fire,Special,117.0
Fling,Charmander,Dark,Physical,0.0
Will-O-Wisp,Charmander,Fire,Status,0.0
Shadow Claw,Charmander,Ghost,Physical,70.0
Swords Dance,Charmander,Normal,Status,0.0
Rock Slide,Charmander,Rock,Physical,67.5
Swagger,Charmander,Normal,Status,0.0
Sleep Talk,Charmander,Normal,Status,0.0
Substitute,Charmander,Normal,Status,0.0
Confide,Charmander,Normal,Status,0.0
Leer,Charmander,Normal,Status,0.0
Bide,Charmander,Normal,Physical,0.0
Reflect,Charmander,Psychic,Status,0.0
Skull Bash,Charmander,Normal,Physical,130.0
Submission,Charmander,Fighting,Physical,64.0
Take Down,Charmander,Normal,Physical,76.5
Curse,Charmander,Ghost,Status,0.0
Dragon Breath,Charmander,Dragon,Special,60.0
Rage,Charmander,Normal,Physical,20.0
Body Slam,Charmander,Normal,Physical,85.0
Defense Curl,Charmander,Normal,Status,0.0
Double-Edge,Charmander,Normal,Physical,120.0
Dynamic Punch,Charmander,Fighting,Physical,50.0
Mega Kick,Charmander,Normal,Physical,90.0
Mega Punch,Charmander,Normal,Physical,68.0
Mimic,Charmander,Normal,Status,0.0
Seismic Toss,Charmander,Fighting,Physical,0.0
Captivate,Charmander,Normal,Status,0.0
Endure,Charmander,Normal,Status,0.0
Natural Gift,Charmander,Normal,Physical,0.0
Fury Cutter,Charmander,Bug,Physical,38.0
Headbutt,Charmander,Normal,Physical,70.0
Mud-Slap,Charmander,Ground,Special,20.0
Swift,Charmander,Normal,Special,60.0
Dig,Charmander,Ground,Physical,80.0
Hone Claws,Charmander,Dark,Status,0.0
Incinerate,Charmander,Fire,Special,60.0
Power-Up Punch,Charmander,Fighting,Physical,40.0
Rock Smash,Charmander,Fighting,Physical,40.0
Secret Power,Charmander,Normal,Physical,70.0
Cut,Charmander,Normal,Physical,47.5
Strength,Charmander,Normal,Physical,80.0
Ember,Charmeleon,Fire,Special,40.0
Growl,Charmeleon,Normal,Status,0.0
Scratch,Charmeleon,Normal,Physical,40.0
Ember,Charmeleon,Fire,Special,40.0
Smokescreen,Charmeleon,Normal,Status,0.0
Dragon Rage,Charmeleon,Dragon,Special,0.0
Scary Face,Charmeleon,Normal,Status,0.0
Fire Fang,Charmeleon,Fire,Physical,61.75
Flame Burst,Charmeleon,Fire,Special,70.0
Slash,Charmeleon,Normal,Physical,70.0
Flamethrower,Charmeleon,Fire,Special,90.0
Fire Spin,Charmeleon,Fire,Special,29.75
Inferno,Charmeleon,Fire,Special,50.0
Air Cutter,Charmeleon,Flying,Special,57.0
Ancient Power,Charmeleon,Rock,Special,60.0
Beat Up,Charmeleon,Dark,Physical,0.0
Belly Drum,Charmeleon,Normal,Status,0.0
Bite,Charmeleon,Dark,Physical,60.0
Counter,Charmeleon,Fighting,Physical,0.0
Crunch,Charmeleon,Dark,Physical,80.0
Dragon Dance,Charmeleon,Dragon,Status,0.0
Dragon Pulse,Charmeleon,Dragon,Special,85.0
Dragon Rush,Charmeleon,Dragon,Physical,75.0
Flare Blitz,Charmeleon,Fire,Physical,120.0
Focus Punch,Charmeleon,Fighting,Physical,150.0
Metal Claw,Charmeleon,Steel,Physical,47.5
Outrage,Charmeleon,Dragon,Physical,120.0
Fire Pledge,Charmeleon,Fire,Special,80.0
Work Up,Charmeleon,Normal,Status,0.0
Dragon Claw,Charmeleon,Dragon,Physical,80.0
Toxic,Charmeleon,Poison,Status,0.0
Hidden Power,Charmeleon,Normal,Special,60.0
Sunny Day,Charmeleon,Fire,Status,0.0
Protect,Charmeleon,Normal,Status,0.0
Frustration,Charmeleon,Normal,Physical,0.0
Return,Charmeleon,Normal,Physical,0.0
Brick Break,Charmeleon,Fighting,Physical,75.0
Double Team,Charmeleon,Normal,Status,0.0
Flamethrower,Charmeleon,Fire,Special,90.0
Fire Blast,Charmeleon,Fire,Special,93.5
Rock Tomb,Charmeleon,Rock,Physical,57.0
Aerial Ace,Charmeleon,Flying,Physical,60.0
Facade,Charmeleon,Normal,Physical,70.0
Flame Charge,Charmeleon,Fire,Physical,50.0
Rest,Charmeleon,Psychic,Status,0.0
Attract,Charmeleon,Normal,Status,0.0
Round,Charmeleon,Normal,Special,60.0
Echoed Voice,Charmeleon,Normal,Special,40.0
Overheat,Charmeleon,Fire,Special,117.0
Fling,Charmeleon,Dark,Physical,0.0
Will-O-Wisp,Charmeleon,Fire,Status,0.0
Shadow Claw,Charmeleon,Ghost,Physical,70.0
Swords Dance,Charmeleon,Normal,Status,0.0
Rock Slide,Charmeleon,Rock,Physical,67.5
Swagger,Charmeleon,Normal,Status,0.0
Sleep Talk,Charmeleon,Normal,Status,0.0
Substitute,Charmeleon,Normal,Status,0.0
Confide,Charmeleon,Normal,Status,0.0
Leer,Charmeleon,Normal,Status,0.0
Bide,Charmeleon,Normal,Physical,0.0
Reflect,Charmeleon,Psychic,Status,0.0
Skull Bash,Charmeleon,Normal,Physical,130.0
Submission,Charmeleon,Fighting,Physical,64.0
Take Down,Charmeleon,Normal,Physical,76.5
Curse,Charmeleon,Ghost,Status,0.0
Dragon Breath,Charmeleon,Dragon,Special,60.0
Rage,Charmeleon,Normal,Physical,20.0
Body Slam,Charmeleon,Normal,Physical,85.0
Defense Curl,Charmeleon,Normal,Status,0.0
Double-Edge,Charmeleon,Normal,Physical,120.0
Dynamic Punch,Charmeleon,Fighting,Physical,50.0
Mega Kick,Charmeleon,Normal,Physical,90.0
Mega Punch,Charmeleon,Normal,Physical,68.0
Mimic,Charmeleon,Normal,Status,0.0
Seismic Toss,Charmeleon,Fighting,Physical,0.0
Captivate,Charmeleon,Normal,Status,0.0
Endure,Charmeleon,Normal,Status,0.0
Natural Gift,Charmeleon,Normal,Physical,0.0
Fury Cutter,Charmeleon,Bug,Physical,38.0
Headbutt,Charmeleon,Normal,Physical,70.0
Mud-Slap,Charmeleon,Ground,Special,20.0
Swift,Charmeleon,Normal,Special,60.0
Dig,Charmeleon,Ground,Physical,80.0
Hone Claws,Charmeleon,Dark,Status,0.0
Incinerate,Charmeleon,Fire,Special,60.0
Power-Up Punch,Charmeleon,Fighting,Physical,40.0
Rock Smash,Charmeleon,Fighting,Physical,40.0
Secret Power,Charmeleon,Normal,Physical,70.0
Cut,Charmeleon,Normal,Physical,47.5
Strength,Charmeleon,Normal,Physical,80.0
Air Slash,Charizard,Flying,Special,71.25
Dragon Claw,Charizard,Dragon,Physical,80.0
Ember,Charizard,Fire,Special,40.0
Flare Blitz,Charizard,Fire,Physical,120.0
Growl,Charizard,Normal,Status,0.0
Heat Wave,Charizard,Fire,Special,85.5
Scratch,Charizard,Normal,Physical,40.0
Shadow Claw,Charizard,Ghost,Physical,70.0
Wing Attack,Charizard,Flying,Physical,60.0
Ember,Charizard,Fire,Special,40.0
Smokescreen,Charizard,Normal,Status,0.0
Dragon Rage,Charizard,Dragon,Special,0.0
Scary Face,Charizard,Normal,Status,0.0
Fire Fang,Charizard,Fire,Physical,61.75
Flame Burst,Charizard,Fire,Special,70.0
Slash,Charizard,Normal,Physical,70.0
Flamethrower,Charizard,Fire,Special,90.0
Fire Spin,Charizard,Fire,Special,29.75
Inferno,Charizard,Fire,Special,50.0
Heat Wave,Charizard,Fire,Special,85.5
Flare Blitz,Charizard,Fire,Physical,120.0
Air Cutter,Charizard,Flying,Special,57.0
Ancient Power,Charizard,Rock,Special,60.0
Beat Up,Charizard,Dark,Physical,0.0
Belly Drum,Charizard,Normal,Status,0.0
Bite,Charizard,Dark,Physical,60.0
Counter,Charizard,Fighting,Physical,0.0
Crunch,Charizard,Dark,Physical,80.0
Dragon Dance,Charizard,Dragon,Status,0.0
Dragon Pulse,Charizard,Dragon,Special,85.0
Dragon Rush,Charizard,Dragon,Physical,75.0
Flare Blitz,Charizard,Fire,Physical,120.0
Focus Punch,Charizard,Fighting,Physical,150.0
Metal Claw,Charizard,Steel,Physical,47.5
Outrage,Charizard,Dragon,Physical,120.0
Blast Burn,Charizard,Fire,Special,135.0
Fire Pledge,Charizard,Fire,Special,80.0
Work Up,Charizard,Normal,Status,0.0
Dragon Claw,Charizard,Dragon,Physical,80.0
Roar,Charizard,Normal,Status,0.0
Toxic,Charizard,Poison,Status,0.0
Hidden Power,Charizard,Normal,Special,60.0
Sunny Day,Charizard,Fire,Status,0.0
Hyper Beam,Charizard,Normal,Special,135.0
Protect,Charizard,Normal,Status,0.0
Roost,Charizard,Flying,Status,0.0
Frustration,Charizard,Normal,Physical,0.0
Solar Beam,Charizard,Grass,Special,200.0
Earthquake,Charizard,Ground,Physical,100.0
Return,Charizard,Normal,Physical,0.0
Brick Break,Charizard,Fighting,Physical,75.0
Double Team,Charizard,Normal,Status,0.0
Flamethrower,Charizard,Fire,Special,90.0
Fire Blast,Charizard,Fire,Special,93.5
Rock Tomb,Charizard,Rock,Physical,57.0
Aerial Ace,Charizard,Flying,Physical,60.0
Facade,Charizard,Normal,Physical,70.0
Flame Charge,Charizard,Fire,Physical,50.0
Rest,Charizard,Psychic,Status,0.0
Attract,Charizard,Normal,Status,0.0
Round,Charizard,Normal,Special,60.0
Echoed Voice,Charizard,Normal,Special,40.0
Overheat,Charizard,Fire,Special,117.0
Steel Wing,Charizard,Steel,Physical,63.0
Focus Blast,Charizard,Fighting,Special,84.0
Fling,Charizard,Dark,Physical,0.0
Sky Drop,Charizard,Flying,Physical,60.0
Brutal Swing,Charizard,Dark,Physical,60.0
Will-O-Wisp,Charizard,Fire,Status,0.0
Shadow Claw,Charizard,Ghost,Physical,70.0
Giga Impact,Charizard,Normal,Physical,135.0
Swords Dance,Charizard,Normal,Status,0.0
Fly,Charizard,Flying,Physical,85.5
Bulldoze,Charizard,Ground,Physical,60.0
Rock Slide,Charizard,Rock,Physical,67.5
Dragon Tail,Charizard,Dragon,Physical,54.0
Swagger,Charizard,Normal,Status,0.0
Sleep Talk,Charizard,Normal,Status,0.0
Substitute,Charizard,Normal,Status,0.0
Confide,Charizard,Normal,Status,0.0
Leer,Charizard,Normal,Status,0.0
Bide,Charizard,Normal,Physical,0.0
Fissure,Charizard,Ground,Physical,0.0
Reflect,Charizard,Psychic,Status,0.0
Skull Bash,Charizard,Normal,Physical,130.0
Submission,Charizard,Fighting,Physical,64.0
Take Down,Charizard,Normal,Physical,76.5
Curse,Charizard,Ghost,Status,0.0
Dragon Breath,Charizard,Dragon,Special,60.0
Sandstorm,Charizard,Rock,Status,0.0
Rage,Charizard,Normal,Physical,20.0
Body Slam,Charizard,Normal,Physical,85.0
Defense Curl,Charizard,Normal,Status,0.0
Double-Edge,Charizard,Normal,Physical,120.0
Dynamic Punch,Charizard,Fighting,Physical,50.0
Mega Kick,Charizard,Normal,Physical,90.0
Mega Punch,Charizard,Normal,Physical,68.0
Mimic,Charizard,Normal,Status,0.0
Seismic Toss,Charizard,Fighting,Physical,0.0
Captivate,Charizard,Normal,Status,0.0
Endure,Charizard,Normal,Status,0.0
Natural Gift,Charizard,Normal,Physical,0.0
Fury Cutter,Charizard,Bug,Physical,38.0
Headbutt,Charizard,Normal,Physical,70.0
Mud-Slap,Charizard,Ground,Special,20.0
Ominous Wind,Charizard,Ghost,Special,60.0
Swift,Charizard,Normal,Special,60.0
Twister,Charizard,Dragon,Special,40.0
Dig,Charizard,Ground,Physical,80.0
Hone Claws,Charizard,Dark,Status,0.0
Incinerate,Charizard,Fire,Special,60.0
Power-Up Punch,Charizard,Fighting,Physical,40.0
Rock Smash,Charizard,Fighting,Physical,40.0
Secret Power,Charizard,Normal,Physical,70.0
Cut,Charizard,Normal,Physical,47.5
Strength,Charizard,Normal,Physical,80.0
Tackle,Squirtle,Normal,Physical,40.0
Tail Whip,Squirtle,Normal,Status,0.0
Water Gun,Squirtle,Water,Special,40.0
Withdraw,Squirtle,Water,Status,0.0
Bubble,Squirtle,Water,Special,40.0
Bite,Squirtle,Dark,Physical,60.0
Rapid Spin,Squirtle,Normal,Physical,20.0
Protect,Squirtle,Normal,Status,0.0
Water Pulse,Squirtle,Water,Special,60.0
Aqua Tail,Squirtle,Water,Physical,81.0
Skull Bash,Squirtle,Normal,Physical,130.0
Iron Defense,Squirtle,Steel,Status,0.0
Rain Dance,Squirtle,Water,Status,0.0
Hydro Pump,Squirtle,Water,Special,88.0
Aqua Jet,Squirtle,Water,Physical,40.0
Aqua Ring,Squirtle,Water,Status,0.0
Aura Sphere,Squirtle,Fighting,Special,80.0
Brine,Squirtle,Water,Special,65.0
Dragon Pulse,Squirtle,Dragon,Special,85.0
Fake Out,Squirtle,Normal,Physical,40.0
Flail,Squirtle,Normal,Physical,0.0
Foresight,Squirtle,Normal,Status,0.0
Haze,Squirtle,Ice,Status,0.0
Mirror Coat,Squirtle,Psychic,Special,0.0
Mist,Squirtle,Ice,Status,0.0
Mud Sport,Squirtle,Ground,Status,0.0
Muddy Water,Squirtle,Water,Special,76.5
Refresh,Squirtle,Normal,Status,0.0
Water Spout,Squirtle,Water,Special,150.0
Yawn,Squirtle,Normal,Status,0.0
Water Pledge,Squirtle,Water,Special,80.0
Work Up,Squirtle,Normal,Status,0.0
Toxic,Squirtle,Poison,Status,0.0
Hail,Squirtle,Ice,Status,0.0
Hidden Power,Squirtle,Normal,Special,60.0
Ice Beam,Squirtle,Ice,Special,90.0
Blizzard,Squirtle,Ice,Special,77.0
Protect,Squirtle,Normal,Status,0.0
Rain Dance,Squirtle,Water,Status,0.0
Frustration,Squirtle,Normal,Physical,0.0
Return,Squirtle,Normal,Physical,0.0
Brick Break,Squirtle,Fighting,Physical,75.0
Double Team,Squirtle,Normal,Status,0.0
Rock Tomb,Squirtle,Rock,Physical,57.0
Facade,Squirtle,Normal,Physical,70.0
Rest,Squirtle,Psychic,Status,0.0
Attract,Squirtle,Normal,Status,0.0
Round,Squirtle,Normal,Special,60.0
Scald,Squirtle,Water,Special,80.0
Fling,Squirtle,Dark,Physical,0.0
Gyro Ball,Squirtle,Steel,Physical,0.0
